City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Katsuura,35.13,140.3,64.4,77,40,1.12,JP,1603715249
Buchanan,5.88,-10.05,82.85,74,43,6.44,LR,1603715249
Houston,29.76,-95.36,72.0,94,75,9.17,US,1603714733
Egvekinot,66.32,-179.17,18.81,95,9,5.82,RU,1603715249
Rodas,22.34,-80.56,75.2,100,100,2.24,CU,1603715249
Vangaindrano,-23.35,47.6,79.56,64,56,10.13,MG,1603715249
Chumikan,54.72,135.31,31.89,89,0,7.96,RU,1603715249
Quijingue,-10.75,-39.21,89.69,42,81,8.08,BR,1603715249
Yerofey Pavlovich,53.97,121.97,31.6,98,100,5.86,RU,1603715250
Tsimmerbude,54.67,20.13,57.2,82,90,11.18,RU,1603715250
Åmot,59.57,7.99,45.0,93,75,2.24,NO,1603715250
Sīrjān,29.45,55.68,74.71,15,0,4.23,IR,1603715250
Dalby,-27.18,151.27,64.0,66,49,7.36,AU,1603715250
Notsé,6.95,1.17,86.7,62,93,3.53,TG,1603715250
Chara,56.91,118.26,23.43,91,100,7.38,RU,1603715250
Agadez,19.75,10.25,84.63,14,0,7.61,NE,1603715251
Morro Bay,35.37,-120.85,57.0,96,25,4.92,US,1603715251
Pemberton,50.32,-122.8,34.36,80,92,1.1,CA,1603715251
Karasburg,-28.02,18.75,94.42,11,4,4.03,NA,1603715251
Viedma,-40.81,-63.0,61.0,50,0,1.99,AR,1603715251
Northam,51.03,-4.22,57.99,81,47,13.0,GB,1603715311
Aras,42.56,-2.36,57.0,58,40,20.8,ES,1603715311
Muros,42.78,-9.06,57.0,89,75,7.0,ES,1603715311
Kutum,14.2,24.67,83.84,16,3,3.36,SD,1603715311
Tabou,4.42,-7.35,80.82,83,86,8.16,CI,1603715311
Polunochnoye,60.87,60.42,23.56,96,100,11.16,RU,1603715311
Vityazevo,44.99,37.27,73.0,53,0,8.95,RU,1603715312
Rio Grande,-32.03,-52.1,72.0,89,100,12.88,BR,1603715039
Kribi,2.95,9.92,82.45,77,93,9.13,CM,1603715312
Saint George,37.1,-113.58,37.4,27,1,18.34,US,1603715277
Mogok,22.92,96.5,66.33,100,33,0.07,MM,1603715312
George Town,5.41,100.34,80.01,83,20,2.82,MY,1603715312
La Ronge,55.1,-105.28,17.6,67,75,6.93,CA,1603715312
Chiautla,19.53,-98.88,48.2,57,20,4.7,MX,1603715312
Broome,42.25,-75.83,46.99,100,90,8.05,US,1603715313
Gazojak,41.19,61.4,72.03,20,0,7.96,TM,1603715313
Methóni,36.82,21.7,75.99,41,20,8.05,GR,1603715313
Vila Velha,-20.33,-40.29,78.8,74,75,13.87,BR,1603715313
Coruripe,-10.13,-36.18,84.04,62,26,14.63,BR,1603715313
Farafangana,-22.82,47.83,77.86,66,23,11.65,MG,1603715313
Annau,37.89,58.52,80.6,15,41,16.11,TM,1603715313
Andenes,69.31,16.12,44.6,87,20,18.34,NO,1603715314
Ambāgarh Chauki,20.78,80.72,77.94,54,9,3.11,IN,1603715314
Champerico,14.3,-91.92,75.2,94,90,6.6,GT,1603715314
Port Augusta,-32.5,137.77,57.2,76,4,8.05,AU,1603715314
Stantsionno-Oyashinskiy,55.47,83.82,37.72,94,100,13.15,RU,1603715314
Ust'-Kalmanka,52.12,83.31,44.01,61,100,17.98,RU,1603715314
Nelson Bay,-32.72,152.15,60.01,100,90,17.22,AU,1603715314
Baykit,61.67,96.37,19.51,95,100,2.21,RU,1603715314
Puerto Escondido,15.85,-97.07,78.01,76,86,3.94,MX,1603715314
Kenai,60.55,-151.26,37.4,100,90,10.29,US,1603715314
Buenos Aires,-34.61,-58.38,64.4,59,0,8.05,AR,1603715135
Taltal,-25.4,-70.48,61.72,56,23,2.66,CL,1603715314
Kyaikto,17.3,97.02,80.17,87,46,5.06,MM,1603715314
Bonao,18.94,-70.41,79.0,1,99,1.88,DO,1603715315
Muli,2.92,73.57,83.16,73,96,9.44,MV,1603715315
Esperance,-33.87,121.9,73.4,31,18,12.75,AU,1603715315
Kuruman,-27.45,23.43,95.0,19,32,1.01,ZA,1603715315
Saint-Joseph,-21.37,55.62,75.2,78,75,4.7,RE,1603715315
Sandwick,60.0,-1.25,51.8,81,20,16.11,GB,1603715315
Punta Alta,-38.88,-62.07,62.8,38,0,12.88,AR,1603715315
Kroya,-7.63,109.25,66.0,87,100,7.27,ID,1603715316
San Policarpo,12.18,125.51,80.47,82,100,8.21,PH,1603715316
Martigny District,46.08,7.08,42.8,87,90,9.17,CH,1603715316
Karpathos,35.51,27.21,77.0,65,20,14.99,GR,1603715316
Helena,46.59,-112.04,3.0,77,1,3.36,US,1603715230
Pleasant Point,-44.27,171.13,48.0,96,100,4.65,NZ,1603715376
Chaman,30.92,66.45,68.45,18,0,3.85,PK,1603715376
Trelew,-43.25,-65.31,62.01,30,2,19.42,AR,1603715376
Gangāpur,26.48,76.72,83.37,22,0,3.56,IN,1603715376
Galesong,-5.32,119.37,77.0,94,20,2.24,ID,1603715377
Benguela,-12.58,13.41,82.4,65,20,13.87,AO,1603715377
Magdagachi,53.45,125.8,30.99,97,100,6.93,RU,1603715377
Thunder Bay,48.4,-89.32,26.6,73,90,5.82,CA,1603715377
Rugeley,52.76,-1.94,54.0,70,45,8.99,GB,1603715377
Ahipara,-35.17,173.17,58.77,93,56,3.15,NZ,1603715377
Cerfontaine,50.17,4.41,54.0,71,40,16.11,BE,1603715377
Yacuiba,-22.04,-63.68,69.8,77,90,11.41,BO,1603715377
Verkhoyansk,67.54,133.38,4.23,87,81,2.39,RU,1603715377
Seddon,-37.81,144.89,55.0,66,90,12.75,AU,1603715378
Maebaru-chūō,33.55,130.2,59.0,82,0,1.12,JP,1603715378
São Filipe,14.9,-24.5,83.14,65,100,11.1,CV,1603715378
Katherine,-14.47,132.27,77.0,83,99,8.05,AU,1603715378
Colac,-38.33,143.58,50.0,84,18,5.99,AU,1603715081
Bathsheba,13.22,-59.52,86.0,74,40,13.87,BB,1603715378
Estación Coahuila,32.19,-115.0,62.6,13,75,21.92,MX,1603715378
Yantal',56.85,105.25,19.36,93,81,3.42,RU,1603715378
Barcelos,41.54,-8.62,62.01,82,20,9.17,PT,1603715290
Toledo,39.83,-4.0,57.0,55,4,12.91,ES,1603715378
Itarema,-2.92,-39.92,83.32,67,93,14.52,BR,1603715378
Pimentel,-6.84,-79.93,62.38,88,79,9.1,PE,1603715378
Necochea,-38.55,-58.74,57.99,85,0,1.01,AR,1603715379
Ibotirama,-12.19,-43.22,88.0,51,92,3.58,BR,1603715379
Waipawa,-41.41,175.52,60.01,100,96,11.41,NZ,1603715379
Coyhaique,-45.58,-72.07,50.0,57,75,4.7,CL,1603715379
Srednekolymsk,67.45,153.68,10.63,91,0,6.82,RU,1603715379
Srandakan,-7.94,110.25,78.76,85,100,8.7,ID,1603715379
Oranjemund,-28.55,16.43,64.96,68,2,19.73,NA,1603715379
Phayao,19.25,100.25,75.24,77,8,2.13,TH,1603715379
Davila,18.47,120.58,82.4,78,90,5.82,PH,1603715379
Simao,22.79,100.97,67.35,77,81,2.17,CN,1603715379
Hīt,33.64,42.83,90.55,11,0,3.31,IQ,1603715379
Santa Cruz del Norte,23.15,-81.92,75.2,100,75,4.7,CU,1603715379
Roebourne,-20.78,117.13,73.2,77,5,16.13,AU,1603715380
Sioux Lookout,50.1,-91.92,19.4,85,40,4.7,CA,1603715380
Adrar,20.5,-10.07,95.22,10,56,8.23,MR,1603715380
Ananas,19.25,-71.96,72.09,82,100,2.06,HT,1603715380
Ouadda,8.08,22.4,88.05,43,7,4.07,CF,1603715380
Sabanagrande,10.79,-74.76,80.6,88,40,2.24,CO,1603715380
Sur,22.57,59.53,81.21,49,0,12.44,OM,1603715380
Seoul,37.57,126.98,57.2,67,1,3.36,KR,1603715327
Bonavista,48.65,-53.11,37.0,63,35,15.99,CA,1603715440
Bulata,9.86,122.4,80.87,81,100,17.2,PH,1603715441
Ketchikan,55.34,-131.65,48.2,100,90,9.17,US,1603715441
Nouadhibou,20.93,-17.03,84.2,39,97,20.8,MR,1603715441
Ahvāz,31.32,48.67,95.0,16,0,2.24,IR,1603715441
Broken Hill,-31.95,141.43,55.4,87,75,6.93,AU,1603715441
Ambikāpur,23.12,83.2,71.91,51,44,3.8,IN,1603715441
Pedernales,18.04,-71.74,77.0,94,20,1.14,DO,1603715441
Mossamedes,-15.2,12.15,77.0,65,75,11.41,AO,1603715442
Yangi Marg`ilon,40.43,71.72,62.6,29,100,4.7,UZ,1603715442
Keningau,5.34,116.16,78.8,83,20,6.93,MY,1603715369
Bowen,-20.02,148.23,69.8,94,90,4.7,AU,1603715442
Mórrope,-6.54,-80.01,66.63,75,69,6.82,PE,1603715442
Winnipeg,49.88,-97.15,23.0,73,90,10.29,CA,1603715163
Cabangahan,9.08,122.95,78.8,83,75,4.7,PH,1603715442
St. George's,12.06,-61.75,84.2,79,75,9.17,GD,1603715442
Panabá,21.28,-88.27,78.35,94,97,5.5,MX,1603715442
Littlehampton,50.81,-0.54,57.99,71,40,18.34,GB,1603715426
Dagua,3.66,-76.69,71.6,88,75,2.24,CO,1603715443
Hue,16.47,107.6,78.8,88,75,1.12,VN,1603715443
Benjamín Hill,30.17,-111.1,62.01,84,65,3.11,MX,1603715443
Alice Springs,-23.7,133.88,68.0,24,0,8.05,AU,1603715443
Lavrentiya,65.58,-171.0,31.08,92,69,6.58,RU,1603715443
Madimba,-10.4,40.33,71.6,78,75,20.8,TZ,1603715443
Leh,34.17,77.58,34.65,55,75,4.18,IN,1603715399
Vestmanna,62.16,-7.17,42.8,75,75,13.87,FO,1603715444
Aksha,50.28,113.29,24.35,78,0,9.22,RU,1603715444
Colesberg,-30.72,25.1,88.61,16,44,17.2,ZA,1603715444
Paamiut,61.99,-49.67,33.06,90,100,29.28,GL,1603715444
Dakar,14.69,-17.44,89.6,62,2,6.93,SN,1603715266
Henties Bay,-22.12,14.28,64.0,79,4,12.64,NA,1603715444
Tieling,42.29,123.84,53.67,74,85,7.56,CN,1603715444
Ruwi,23.6,58.55,84.2,58,0,9.17,OM,1603715445
Gandorhun,7.5,-11.83,91.45,54,100,1.54,SL,1603715445
Asheboro,35.71,-79.81,50.0,93,15,4.18,US,1603715445
Xam Nua,20.42,104.04,64.02,95,63,2.24,LA,1603715445
Gawler,-34.6,138.73,57.0,85,99,7.0,AU,1603715401
Wuwei,37.93,102.64,43.65,49,19,3.8,CN,1603715445
Kabare,-2.47,28.82,71.6,77,100,2.91,CD,1603715445
Alugan,12.22,125.48,79.68,84,100,7.9,PH,1603715446
Elizabeth City,36.29,-76.25,62.01,100,97,11.05,US,1603715446
Zhigalovo,54.81,105.16,18.16,91,0,2.21,RU,1603715446
Betsiamites,48.94,-68.65,30.2,92,75,9.75,CA,1603715446
Fayetteville,35.05,-78.88,55.0,93,90,9.17,US,1603715252
Jizan,17.33,42.67,95.0,50,20,16.11,SA,1603715447
Vestmannaeyjar,63.44,-20.27,44.6,87,40,16.11,IS,1603715507
Husavik,66.04,-17.34,39.2,80,90,6.93,IS,1603715507
Corowa,-36.03,146.38,55.99,65,59,9.95,AU,1603715507
